rank,model,exp,config,hierarchical_f1_mean,hierarchical_f1_std,accuracy_mean,accuracy_std,top_accuracy_mean,macro_accuracy_mean
162,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,80.23,0.46,81.55,0.4,89.83,76.36
163,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,80.23,1.03,81.69,0.41,90.22,76.12
164,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_no_conf1,80.23,0.62,81.42,0.57,90.21,75.97
165,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,80.22,0.48,82.13,0.44,85.87,76.51
166,baseline,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,80.21,0.48,81.37,0.37,89.97,76.07
167,baseline,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,80.21,0.87,81.51,0.41,90.4,75.95
168,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,80.21,0.51,81.61,0.23,90.17,75.91
169,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_intersection_filter2_no_conf1,80.21,0.42,81.45,0.49,89.98,76.08
170,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,80.21,0.61,81.62,0.48,90.11,76.03
171,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,80.2,0.64,81.91,0.47,85.81,75.54
172,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,80.17,0.54,81.5,0.38,89.84,76.05
173,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,80.16,0.37,81.52,0.46,89.89,76.23
174,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_no_conf1,80.15,0.3,81.6,0.33,90.02,76.0
175,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,80.12,0.93,81.58,0.52,89.92,76.29
176,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,80.12,0.54,81.31,0.51,90.07,76.08
177,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_intersection_filter2_no_conf1,80.12,0.6,81.5,0.52,89.73,76.12
